Title,Authors,Venue,Year,Library,I1,I2,I3,I4,I5,I6,E1,E2,E3,E4,Included,Ground truth,Reason,Publication type,Publication venue,Publication date,Primary study DOI,Primary study Scopus EID,Keywords,Abstract
3MRP+: An Improved Multimetric Geographical Routing Protocol for VANETs,"Cárdenas, Leticia Lemus;Bautista, Pablo Barbecho;Mezher, Ahmad Mohamad;Cárdenas-Barrera, Julián;Márquez, Nely Patricia López;Igartua, Mónica Aguilar",PE-WASUN'18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"PE-WASUN 2018 - Proceedings of the 15th ACM International Symposium on Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",2018-10-25,10.1145/3243046.3243056,2-s2.0-85058219284,Beacon frequency | Estimation of the node‘s position | VANETs,"© 2018 Association for Computing Machinery.The design of routing protocols in vehicular ad hoc networks (VANETs) is fundamental to achieve a high packets’ delivery ratio. Routing protocols whose operation considers the nodes’ positions use routing information updated according with the reception frequency of hello messages. The routing information can help to improve the routing to can include several metrics such as vehicle’s trajectory, vehicles’ density, percentage of packet losses, among others. There is a trade-o with the beaconing frequency: a high frequency provides a better accuracy in the selection of the next forwarding node to route a packet, but the overload increases due to a higher number of hello messages in the network. To decrease the overhead, the period of hello messages should be larger, although the eciency to choice the next forwarding node decreases. In this paper we have designed an ecient method to improve the accuracy of the nodes’ position used to select the next forwarding node. Our approach improves the operation of the routing protocol used in our performance evaluation. Simulations show the benets of our proposal, increasing the accuracy of the nodes’ selection and maintaining a same level of overhead, without the necessity to increase the beacon frequency."
A 21st century technique for food control: Electronic noses,"Peris, Miguel;Escuder-Gilabert, Laura",Analytica Chimica Acta,2009,ScienceDirect,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,re,Analytica Chimica Acta,2009-04-06,10.1016/j.aca.2009.02.009,2-s2.0-61949354153,Electronic noses | Food analysis | Gas sensors | Mass spectrometry,"This work examines the main features of modern electronic noses (e-noses) and their most important applications in food control in this new century. The three components of an electronic nose (sample handling system, detection system, and data processing system) are described. Special attention is devoted to the promising mass spectrometry based e-noses, due to their advantages over the more classical gas sensors. Applications described include process monitoring, shelf-life investigation, freshness evaluation, authenticity assessment, as well as other general aspects of the utilization of electronic noses in food control. Finally, some interesting remarks concerning the strengths and weaknesses of electronic noses in food control are also mentioned. © 2009 Elsevier B.V. All rights reserved."
"A 25-kft, 768-kb/s CMOS analog front end for multiple-bit-rate DSL transceiver","Moyal, M.; Groepl, M.; Blon, T.","Solid-State Circuits, IEEE Journal of",1999,IEEE,NN,NN,NN,NN,NN,NN,NN,NN,NN,1,NO,Exclude,,,,,,,,
A 3-D scene interpreter for indoor navigation,"Röning, Juha;Taipalc, Tapio;Pietikäinen, Matti","Intelligent Robots and Systems '90. 'Towards a New Frontier of Applications', Proceedings. IROS '90. IEEE International Workshop on",1990,IEEE,NN,NN,NN,NN,NN,NN,NN,NN,NN,1,NO,Exclude,,cp,IEEE International Conference on Intelligent Robots and Systems,1990-01-01,10.1109/IROS.1990.262485,2-s2.0-84867712199,,"© 1990 Institute of Electrical and Electronics Engineers Inc.. All rights reserved.A 3-D scene interpreter for visual navigation of a mobile robot is presented. The interpreter provides a partial understanding of scene contents. With the help of a priori knowledge and world constraints, it can be used for route planning and obstacle avoidance. The interpreter consists of data-driven low and intermediate-level stages and a model-driven high-level analysis stage. The high-level analysis interprets the scene contents by matching the description of the scene provided by the lower-level stages to semantic models stored in the data base. Experimental results are presented to verify the performance of the interpreter."
A backward-oriented approach for offline programming of complex manufacturing tasks,"Nagele, Ludwig;Macho, Miroslav;Angerer, Andreas;Hoffmann, Alwin;Vistein, Michael;Schonheits, Manfred;Reif, Wolfgang","2015 6th International Conference on Automation, Robotics and Applications (ICARA)",2015,IEEE,0,0,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"ICARA 2015 - Proceedings of the 2015 6th International Conference on Automation, Robotics and Applications",2015-04-06,10.1109/ICARA.2015.7081135,2-s2.0-84928795433,,"© 2015 IEEE.The automation of production processes with large process variability and a low batch size can be very difficult and non-economic. Using the example of manufacturing carbon-fibre-reinforced polymers (CFRP) which represents a complex, currently hardly automated process, we present a backward-oriented approach for offline programming of complex manufacturing tasks. We focus on an automatic process definition which is supported by expert knowledge where required. Due to domain specific software modules, user interaction is intuitive and tailored to CFRP experts. This leads to significant time-savings compared to currently used teach-in approaches. Moreover, we introduce an extensible offline programming platform which is able to meet the high requirements of CFRP manufacturing."
A BERO CLF Themed Nifty Middle School Module: Teach Functional Programming Using Music and Generate Interest in Coding and Robotics,"Chattopadhyay, Ankur;Quigley, Elizabeth;Petty, Sallie;Hart, Rachel",SIGITE '18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,SIGITE 2018 - Proceedings of the 19th Annual SIG Conference on Information Technology Education,2018-09-14,10.1145/3241815.3241861,2-s2.0-85058175571,BERO Lesson Plan | CLF | Coding | Functional Programming | Google IgniteCS | IT Computing Curriculum | K-12 | Middle School | Nifty Module | Outreach | Robotics,"© 2018 Association for Computing Machinery.Information Technology (IT) computing based curriculum is still a relatively new addition to the standard K-12 educational framework, especially at the middle school level. Many middle schools have not yet implemented tech curriculum to prepare students for their almost inevitable interactions with computers in the workplace, and give them a chance to explore technology careers at an early age. The work presented in this paper is a research case study conducted in the form of building a unique cell-bot learning framework (CLF) themed educational module and its usage in an effort to contribute towards the middle school IT computing curriculum. Existing literature on robotics based tech curriculum for young children indicate that there have been multiple instances of curriculum design and development work at the K-12 level, involving robotic kits like LEGO Mind-storm, Bee-bots, Sphero robots. However, to our knowledge, the BERO robotic device has never been used for producing robotic technology curriculum at the middle school level. In this paper, we propose a nifty workshop module, which utilizes the unique CLF themed BERO. Our lesson plan is specifically designed for introducing mobile robotics and functional programming to middle school youth using music, thereby providing a fun and interactive experience in tech computing education. We expose our young workshop participants to the tech skills of programming a BERO and making it dance to music using a Microssoft Excel spreadsheet."
A Bibliometric Analysis of Crowdfunding Related Research: Current Trends and Future Prospect,"Zhang, Wei;Zhu, Yan Chun;Wu, Xiao Lin",ICCSE'18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,ACM International Conference Proceeding Series,2018-07-28,10.1145/3265689.3265702,2-s2.0-85056744472,Bibliometric analysis | Citespace | Crowdfunding | SCI-EXPANDED | Web of science,"© 2018 Copyright held by the owner/author(s).Crowd Funding is a behavior that raises funds for projects or venture capital by generating a small amount of money from a large number of people. It started late in China, but has rapidly been developeing. At present, the research on crowdfunding in China is still at an early stage and lacks deep-level exploration Those researches mostly focus on the meaning, characteristics, and operating methods of crowd Funding. Therefore, this paper takes crowd Funding literature as the research object, using CiteSpace to map, describe and counts the related keywords and cited references in the target domain. Starting with the cited relations among the existing studies of core database, focusing on weighted documents, this papaer analyzes the relationship of co-occurrence in crowd funding papers, and conductes research hotspots, trends and knowledge structures in the “Crowd Funding” field. The results show that the business economy is the largest research category in crowdfunding, followed by computer science and government laws and regulations, and there are also studies about crowdfunding from the perspective of the environmental ecology science, public management and social science."
A blackboard based system for context sensitive mission planning in an autonomous vehicle,"Chappell, Steven G.","Unmanned Untethered Submersible Technology, Proceedings of the 1987 5th International Symposium on",1987,IEEE,NN,NN,NN,NN,NN,NN,NN,NN,NN,1,NO,Exclude,,cp,"Proceedings of the 1987 5th International Symposium on Unmanned Untethered Submersible Technology, UUST 1987",1987-01-01,10.1109/UUST.1987.1158587,2-s2.0-25444510549,,"© 1987 Marine Systems Engineering Lab.This paper describes an experimental route planner for an autonomous vehicle. Given a high level mission specification (an unordered list of way-points to visit and surveys to run), the system works out a route connecting the mission tasks and issues intermediate level motion commands that describe that route. This planner is implemented in Flavors and is based on the Blackboard Control Architecture. which separates the domain specific issues from the control issues of a problem solving effort. This separation allows the planner to reason about what strategies to apply during the problem solving exercise. The control subsystem allows the planner to adopt one of two planning strategies according to an input parameter in the mission specification. The system forms a basis for context sensitive planning, which is an important issue for an autonomous vehicle. The planner is being translated into Common Lisp for installation on board an autonomous vehicle in late summer 1987."
A Call to Arms: Embrace Assistive AI Systems!,Andrei Broder,WSDM '18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,,,,,,,
A Career in Organized Anarchy: Building Interpersonal Relationships in Higher Education,"House, Matthew",SIGUCCS '18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,Proceedings ACM SIGUCCS User Services Conference,2018-09-11,10.1145/3235715.3235733,2-s2.0-85057980670,ACM Proceedings | Culture | Higher Education Administration | Influence Tactics | Mentoring | Organizational Behavior | Relationships,"© 2018 Association for Computing Machinery.Interpersonal relationships are a foundational tool for accomplishing objectives in any organizational context but play an even more important role in Higher Education environments than many others. This work explores the value of relationships as a purposeful technique for achieving goals when no established process exists, issues are complex, or resources are scarce - scenarios which are all too familiar in Information Technology. A brief literature review sets the stage for gaining a better understanding of what drives various college and university environments and their organizational behavior models. Bases of Power are addressed as an academic concept related to influence tactics and their expected outcomes. Coupling an understanding of Higher Education cultural settings, power, and influence tactics we will examine how university decisions are made, and practical methods for directing those decisions towards desired outcomes within IT and throughout the campus communities we support. The value of relationships as an influence technique is established and strategies for how and when to cultivate relationships are discussed as they pertain to staff in diverse roles, from front-line support to CIO. Washington University in St. Louis is provided throughout this work as an example of an ""Organized Anarchy"" behavioral model where many semi-autonomous units exist, and actions are many times only loosely coupled to results."
A case study in applying discrete control synthesis to excavator operation,"Marchand, H.; Rutten, E.","Systems, Man and Cybernetics, 2002 IEEE International Conference on",2002,IEEE,1,1,1,1,1,1,0,0,0,0,NO,Exclude,,cp,,,,2-s2.0-0038407690,,"Robotic and control systems are ever more complex to design, program, as well as to operate. Existing theoretical work and tool support in discrete control synthesis can be applied to improve task-level robot programming. This requires to determine patterns of tasks and objectives, which are at once domain-specific to robotics, and generic enough to cover a broad class of control systems. We illustrate such a framework by a case study concerning the interactive discrete control of tasks in an excavating system."
A case study of formation constrained optimal multi-agent coordination,"Zhang, Wei;Hu, Jianghai","Decision and Control, 2007 46th IEEE Conference on",2007,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,Proceedings of the IEEE Conference on Decision and Control,2007-01-01,10.1109/CDC.2007.4434860,2-s2.0-62749151887,,"The centralized optimal multi-agent coordination problem is studied for a particular formation constraint. The problem is formulated as an optimal control problem, and the first-order necessary condition is derived analytically in a suitably chosen coordinate system. A candidate solution satisfying the necessary condition is proposed. The Jacobi equation characterizing the conjugate points along the candidate solution is derived and solved analytically by using the theory of matrix differential equations. The optimal centralized coordinated motions derived in this paper will yield a performance lower bound for those generated by decentralized algorithms. © 2007 IEEE."
"A Case Study on Safety Cases in the Automotive Domain: Modules, Patterns, and Models","Wagner, Stefan;Schätz, Bernhard;Puchner, Stefan;Kock, Peter",Proceedings of the 2010 IEEE 21st International Symposium on Software Reliability Engineering,2010,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings - International Symposium on Software Reliability Engineering, ISSRE",2010-12-01,10.1109/ISSRE.2010.31,2-s2.0-79952020938,Automotive | Model-based development | Safety case,"Driven by market needs and laws, automotive manufacturers develop ever more feature-rich and complex vehicles. This new functionality plays even an active role in driving, what poses many new challenges on assuring the safety of the vehicle. Safety cases constitute a proven technique to systematically use existing information about a system, its environment, and development context to show its safety. We construct the safety case for a cruise control system describe in a case study in the automotive domain with a special consideration of existing domain-specific models. In the case study, we identify generic safety case modules and several reoccurring patterns, which will simplify the development of future automotive safety cases. © 2010 IEEE."
A Case Study on the Cybersecurity of Social Robots,"Miller, Justin;Williams, Andrew B.;Perouli, Debbie",HRI '18,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,ACM/IEEE International Conference on Human-Robot Interaction,2018-03-01,10.1145/3173386.3177078,2-s2.0-85045247478,authentication | cybersecurity | programming application | root privilege | social robots,"© 2018 Authors.During the last few years, we have observed a rapid increase in the number of robots that are manufactured and marketed for our homes. These social robots promise to become not just a personal assistant, but a companion that knows its owners tastes and habits. As the advances in artificial intelligence move the dream of home robots closer, exploitation techniques that could specifically target these robots need to be thoroughly examined. In this paper, we present our observations from performing an initial vulnerability analysis to a commercial social robot. Our results indicate that both manufacturers and application developers need to take cybersecurity into account when considering the use of their robots."
A Case Study to Evaluate Pros/Cons of Aspect- and Object-Oriented Paradigms to Model Distributed Embedded Real-Time Systems,"Wehrmeister, Marco A.;Freitas, Edison;Orfanus, Dalimir;Pereira, Carlos E.;Rammig, Franz","Model-based Methodologies for Pervasive and Embedded Software, 2008. MOMPES 2008. 5th International Workshop on",2008,IEEE,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings of the 5th International Workshop on Model-Based Methodologies for Pervasive and Embedded Software, MOMPES 2008",2008-08-22,10.1109/MOMPES.2008.9,2-s2.0-49649113897,,"The growing design complexity of today's embedded real-time systems requires new techniques aiming the raising of the abstraction level since earlier stages of design in order to deal with such complexity in a suitable way. This paper reports a case study, which provides an assessment of two well-know highlevel paradigms, namely Aspect- (AO) and ObjectOriented (OO) paradigms. Concepts of both paradigms were applied at modeling phase of a Distributed Embedded Real-Time System (DERTS). The handling of DERTS'fitnctional and non-functional requirements (at modeling level) using AO and OO concepts is discussed. Both paradigms are compared using of a set of software engineering metrics, which were adapted to be applied at modeling level. The presented results show the suitability of each paradigm for DERTS specification in terms of reusability quality of model elements. © 2008 IEEE."
A CASE tool for robot behavior development,"Topalidou-Kyniazopoulou, Angeliki;Spanoudakis, Nikolaos I.;Lagoudakis, Michail G.",RoboCup 2012: Robot Soccer World Cup XVI (book),2013,Scopus,1,1,1,1,1,1,0,0,0,0,YES,Include,,cp,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2013-09-09,10.1007/978-3-642-39250-4_21,2-s2.0-84883343767,,"The development of high-level behavior for autonomous robots is a time-consuming task even for experts. This paper presents a Computer-Aided Software Engineering (CASE) tool, named Kouretes Statechart Editor (KSE), which enables the developer to easily specify a desired robot behavior as a statechart model utilizing a variety of base robot functionalities (vision, localization, locomotion, motion skills, communication). A statechart is a compact platform-independent formal model used widely in software engineering for designing software systems. KSE adopts the Agent Systems Engineering Methodology (ASEME) model-driven approach. Thus, KSE guides the developer through a series of design steps within a graphical environment that leads to automatic source code generation. We use KSE for developing the behavior of the Nao humanoid robots of our team Kouretes competing in the Standard Platform League of the RoboCup competition. © 2013 Springer-Verlag."
A co-design approach for embedded control software of cyber-physical systems,"Broenink, Jan F.;Vos, Peter Jan D.;Lu, Zhou;Bezemer, Maarten M.",2016 11th System of Systems Engineering Conference (SoSE),2016,IEEE,0,0,NN,NN,NN,NN,NN,NN,1,NN,NO,Exclude,,cp,"2016 11th Systems of Systems Engineering Conference, SoSE 2016",2016-08-12,10.1109/SYSOSE.2016.7542927,2-s2.0-84985945085,,"© 2016 IEEE.This work is about an approach for designing control software for mechatronic and robotic machines. As all system parts (control algorithms, software infrastructure, I/O, and machine) influence each other, its total behaviour needs to be taken into account. Therefore, we use appropriate modelling formalisms, namely discrete event / discrete time for the control software and algorithm part, and differential equations for the machine / robotics part. We combine these two types of models in a co-modelling approach, supporting co-operative design of such cyber-physical systems. In this paper, the co-modelling and co-design approach is elaborated. It consists of four major steps, whereby the models in each are verified via simulation or co-simulation. It is a pure model-driven design approach, implying that all final code is generated from these verified models. This allows for better quality of the resulting embedded software. The method is illustrated using a case study. Structuring models and verification by simulation, whereby relevant simulations are set up such that they can be repeated as real experiments, is beneficial for the design work itself, i.e. making it far more effective and less error-prone."
A Cognitive Map Learning Model Based on Hippocampal Place Cells,"Chai, Jie;Ruan, Xiaogang;Huang, Jing;Zhu, Xiaoqing",ICMRE 2018,2018,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,ACM International Conference Proceeding Series,2018-02-07,10.1145/3191477.3191497,2-s2.0-85053788884,Cognitive Map | Environment Cognition | Hippocampal Place Cells | Robotics | Self-organizing Learning,"© 2018 Association for Computing Machinery.Aiming at the environment cognition and navigation problem of autonomous mobile robots in unknown environment, a cognitive map learning model is proposed based on hippocampal place cells, which can memorize and map surroundings. The model uses the self-organizing feature map as the basic structure. Each hippocampal place cell is represented by a neural node. The robot builds up the hippocampal place cells layer through environment exploration. The simulation results show that the model has self-learning ability, which enables robots to acquire environment knowledge and establish a complete cognitive map gradually like human beings and animals, making the robot's environment cognition and navigation process become more bionic and intelligent."
